Open;High;Low;Close;Volume;;moneyFlowMultiplier;moneyFlowVolume;;;;
53.4400;53.7800;53.3350;53.5700;12954300;;0.056180;727769.662921;102773194.307912;;;
52.7900;52.8800;52.0100;52.0300;20480400;;-0.954023;-19538772.413793;83234421.894119;;;
52.0500;52.5650;51.4850;51.7800;22380500;;-0.453704;-10154115.740741;73080306.153378;;;
52.4800;53.6350;52.4100;53.2300;21689300;;0.338776;7347803.673469;80428109.826848;;;
53.8500;54.7900;53.7500;54.7500;22521900;;0.923077;20789446.153846;101217555.980694;;;
54.8900;55.3000;54.2100;55.1000;15927300;;0.633028;10082419.266055;111299975.246749;;;
55.4100;56.3000;55.0300;55.9300;17394900;;0.417323;7259288.976378;118559264.223127;;;
56.1400;56.6500;55.9600;56.4200;16871000;;0.333333;5623666.666667;124182930.889794;;;
56.7400;57.5600;56.7300;57.1100;26723700;;-0.084337;-2253806.024096;121929124.865697;;;
56.0500;56.5850;55.6500;55.8600;23183000;;-0.550802;-12769245.989305;109159878.876393;;;
55.9200;56.2650;55.7800;56.1700;15785300;;0.608247;9601368.041237;118761246.917630;;;
55.9900;56.0150;54.6600;54.7500;22530500;;-0.867159;-19537518.450184;99223728.467445;;;
54.9900;55.4700;54.8600;55.4000;20392600;;0.770492;15712331.147541;114936059.614986;;;
56.0700;56.6500;55.7500;56.0500;21173200;;-0.333333;-7057733.333333;107878326.281653;;;
56.0400;56.3700;55.7751;56.1300;21096300;;0.193142;4074575.340394;111952901.622046;;;
57.0000;57.5350;56.6800;57.4100;20969800;;0.707602;14838279.532164;126791181.154210;;;
57.4100;58.1500;56.9800;57.0300;57588800;;-0.914530;-52666680.341880;74124500.812330;;;
57.2500;57.2900;56.6900;57.1800;17794100;;0.633333;11269596.666667;85394097.478997;;;
57.0600;57.2000;56.0100;56.0800;25520600;;-0.882353;-22518176.470588;62875921.008409;;;
56.5400;57.0450;56.3600;56.6000;19286100;;-0.299270;-5771752.554744;57104168.453664;;;
56.9400;57.2511;55.4700;55.7300;23959900;;-0.708046;-16964701.527146;40139466.926518;;;
55.9100;55.9800;54.0250;54.7300;103123400;;-0.278772;-28747955.498721;11391511.427797;;;
55.2600;55.3500;54.2250;54.7400;28410000;;-0.084444;-2399066.666667;8992444.761130;;;
54.8300;55.9200;54.7760;55.8100;20307100;;0.807692;16401888.461539;25394333.222669;;;
55.7700;56.5400;55.5400;56.4800;13866800;;0.880000;12202784.000000;37597117.222669;;;
56.0000;56.7300;55.7100;56.6000;14273900;;0.745098;10635454.901961;48232572.124629;;;
56.2500;56.4800;55.9600;56.1900;15835100;;-0.115385;-1827126.923077;46405445.201552;;;
56.3700;56.6900;56.0400;56.3400;19564000;;-0.076923;-1504923.076923;44900522.124630;;;
56.6900;57.6500;56.6000;57.1300;19362600;;0.009524;184405.714286;45084927.838915;;;
57.3700;57.6200;56.9207;57.3000;15994600;;0.084799;1356327.441727;46441255.280643;;;
57.5800;57.9900;57.5700;57.9500;13660400;;0.809524;11058419.047619;57499674.328262;;;
58.0000;58.2298;57.8700;58.0500;8809700;;0.000556;4896.998332;57504571.326594;;;
58.1300;58.2600;57.4600;57.6200;11501100;;-0.600000;-6900660.000000;50603911.326594;;;
57.5700;57.7900;57.1900;57.2100;9266900;;-0.933333;-8649106.666667;41954804.659928;;;
57.0500;57.7900;56.9000;57.7400;10287400;;0.887640;9131512.359551;51086317.019478;;;
57.8100;58.0663;57.3200;57.3600;13882400;;-0.892805;-12394269.221493;38692047.797986;;;
57.4624;58.0100;57.3700;57.7300;10485600;;0.125000;1310700.000000;40002747.797986;;;
58.0600;58.1000;57.4800;57.7100;12692200;;-0.258065;-3275406.451613;36727341.346373;;;
57.5800;57.6800;57.1100;57.2300;18177000;;-0.578947;-10523526.315790;26203815.030583;;;
57.3600;57.5000;56.3700;56.6200;15127200;;-0.557522;-8433748.672566;17770066.358017;;;
